"workspace","visual scope and implementation","tests passed","lint/typecheck/library","light page","dark page","narrow page"
"rc-alert","反馈色与配对前景；12px 容器，标题与正文角色","20","pass","pass","pass","pass"
"rc-app-main-layout","64px 顶栏、280px 抽屉、80px 导航轨；公共表面与选中态","17","pass","pass","pass","pass"
"rc-auto-sizer","尺寸测量逻辑；视觉不适用，组合示例检查布局","11","pass","pass","pass","pass"
"rc-avatar","头像图形保留；消费公共文字、表面及形状角色","28","pass","pass","pass","pass"
"rc-badge","16px 计数徽标与 6px 圆点；辅助文字与反馈色","14","pass","pass","pass","pass"
"rc-bar-chart","业务扩展；公共图表色、排版、焦点与图例","74","pass","pass","pass","pass"
"rc-breadcrumbs","业务导航扩展；链接、正文角色与键盘焦点","7","pass","pass","pass","pass"
"rc-button","40px 胶囊；filled/elevated/tonal/outlined/text；8%/12% 状态层","31","pass","pass","pass","pass"
"rc-canvas","WebGL 业务扩展；共享表面、焦点、空状态；绘制 API 保留","116","pass","pass","pass","pass"
"rc-card","12px 圆角；filled/elevated/outlined；表面与一级阴影","16","pass","pass","pass","pass"
"rc-checkbox","18px 标记、48px 目标；状态层与勾选图形","21","pass","pass","pass","pass"
"rc-color-picker","复用输入、滑块与浮层；业务颜色编辑能力保留","50","pass","pass","pass","pass"
"rc-component-preview","预览边界消费公共表面、排版与按钮","3","pass","pass","pass","pass"
"rc-config-provider","配置逻辑；无独立视觉，品牌与嵌套主题组合检查","7","pass","pass","pass","pass"
"rc-cron-picker","业务扩展；复用公共输入、选择、复选和标签","35","pass","pass","pass","pass"
"rc-date-picker","56px 输入、40px 日期、28px 浮层；窄屏完整七列","31","pass","pass","pass","pass"
"rc-dialog","居中、28px 容器、24px 内边距/标题、文字操作；保留 top 覆盖","21","pass","pass","pass","pass"
"rc-divider","语义边界角色；保持静态分隔与文字排版","12","pass","pass","pass","pass"
"rc-drawer","16px 圆角、低层级表面；模态焦点与关闭行为","15","pass","pass","pass","pass"
"rc-dropdown-container","4px 容器、二级阴影；Portal 继承最近主题与视口约束","18","pass","pass","pass","pass"
"rc-empty","公共正文、辅助文字与反馈图形；空状态内容保留","14","pass","pass","pass","pass"
"rc-flow-diagram","业务扩展；公共表面、图表色、排版和连接状态","8","pass","pass","pass","pass"
"rc-form","字段与反馈组合；继承 56px 字段和错误、禁用、焦点角色","22","pass","pass","pass","pass"
"rc-hooks","纯逻辑；视觉不适用，组合示例检查","40","pass","pass","pass","pass"
"rc-line-edit","56px 默认字段、16/24 正文、4px 圆角；焦点边界稳定","25","pass","pass","pass","pass"
"rc-masonry","业务布局扩展；公共间距与卡片，不改排序算法","9","pass","pass","pass","pass"
"rc-menu","公共表面、选中容器、状态层；键盘与子菜单","14","pass","pass","pass","pass"
"rc-message","snackbar 反色表面、4px 圆角、14px 正文","11","pass","pass","pass","pass"
"rc-notification","12px 容器、16px 标题及公共浮层和反馈角色","22","pass","pass","pass","pass"
"rc-number-edit","复用 56px LineEdit；递增递减与范围限制保留","46","pass","pass","pass","pass"
"rc-pagination","40px 胶囊选择、次要色容器；触控 48px","14","pass","pass","pass","pass"
"rc-prose","默认正文 16/24；标题使用 MD3 用途角色","14","pass","pass","pass","pass"
"rc-radio","20px 圆环、48px 目标；状态层与选中圆点","24","pass","pass","pass","pass"
"rc-realm","远程模块加载逻辑；视觉不适用，组合示例检查","42","pass","pass","pass","pass"
"rc-router","路由逻辑；视觉不适用，公共导航组合检查","18","pass","pass","pass","pass"
"rc-segmented","40px 胶囊描边、次要色选中容器、选中勾选与状态层","21","pass","pass","pass","pass"
"rc-select","56px 默认字段、48px 选项；虚拟测量与选项高度同步","25","pass","pass","pass","pass"
"rc-skeleton","公共中性容器表面、圆角与 reduced-motion 分支","8","pass","pass","pass","pass"
"rc-slider","20px 手柄、40px 状态层、48px 交互高度","29","pass","pass","pass","pass"
"rc-spin","公共品牌与反馈色；进度语义与 reduced-motion","18","pass","pass","pass","pass"
"rc-split-pane","业务布局扩展；公共边界、拖动与焦点角色","9","pass","pass","pass","pass"
"rc-switch","52×32 轨道；16/24px 手柄；48px 目标及 40px 状态层","17","pass","pass","pass","pass"
"rc-table","52px 行、56px 表头/筛选；虚拟测量、公共表面和状态同步","104","pass","pass","pass","pass"
"rc-table-pro","业务数据组合；继承 Table、表单、分页与浮层视觉","14","pass","pass","pass","pass"
"rc-tabs","48px 默认高度、3px 指示条及 label 排版","14","pass","pass","pass","pass"
"rc-tag","32px chip、8px 圆角、14px 标签；选中和删除反馈","16","pass","pass","pass","pass"
"rc-text-edit","16/24 正文、4px 圆角；行数控制高度，触控动作 48px","23","pass","pass","pass","pass"
"rc-theme","明暗角色契约、旧变量回退、公共字体、forced-colors 输出","9","pass","pass","pass","pass"
"rc-token-global","保留 137 项原始值；103 项紫色与 Material 基元扩展","see package log","pass","pass","pass","pass"
"rc-token-semantic","Material 色阶/表面/15 档排版/形状/状态；品牌配对对比度","7","pass","pass","pass","pass"
"rc-tooltip","4px 容器、12/16 文字、反色表面","18","pass","pass","pass","pass"
"rc-tree","56px 默认行；虚拟布局同步，选中与展开图形","97","pass","pass","pass","pass"
"rc-virtual","虚拟测量逻辑与公共滚动表面；组合示例检查","96","pass","pass","pass","pass"
